headline,preprocessed_headline,date_std,source
Australian National Council on Drugs takes a deep breath on cannabis,"['Australian', 'National', 'Council', 'Drugs', 'take', 'deep', 'breath', 'cannabis']",2014-08-25,headline
"Medicinal cannabis: Roll up, roll up, green acres sought for joint venture","['Medicinal', 'cannabis', ':', 'Roll', ',', 'roll', ',', 'green', 'acre', 'sought', 'joint', 'venture']",2016-04-19,headline
Former WA miner IGS makes strides in bid to enter medicinal marijuana industry,"['Former', 'WA', 'miner', 'IGS', 'make', 'stride', 'bid', 'enter', 'medicinal', 'marijuana', 'industry']",2015-08-11,headline
World first as NSW trials medical cannabis on children with severe epilepsy,"['World', 'first', 'NSW', 'trial', 'medical', 'cannabis', 'child', 'severe', 'epilepsy']",2015-10-27,headline
"No medicinal cannabis trial for WA, Health Minister Kim Hames says","['No', 'medicinal', 'cannabis', 'trial', 'WA', ',', 'Health', 'Minister', 'Kim', 'Hames', 'say']",2015-04-19,headline
More Victorian families set to get access to medicinal cannabis,"['More', 'Victorian', 'family', 'set', 'get', 'access', 'medicinal', 'cannabis']",2016-08-16,headline
Medicinal cannabis now legal after law change comes into effect,"['Medicinal', 'cannabis', 'legal', 'law', 'change', 'come', 'effect']",2016-10-29,headline
Growing cannabis industry buoyed by regulation change,"['Growing', 'cannabis', 'industry', 'buoyed', 'regulation', 'change']",2017-06-15,headline
Greens MP John Kaye was preparing to introduce medicinal cannabis bill,"['Greens', 'MP', 'John', 'Kaye', 'preparing', 'introduce', 'medicinal', 'cannabis', 'bill']",2016-05-03,headline
Missing link delivered on medicinal cannabis,"['Missing', 'link', 'delivered', 'medicinal', 'cannabis']",,headline
"Marijuana stocks skyrocket, set to 'lead world' after export approval","['Marijuana', 'stock', 'skyrocket', ',', 'set', ""'lead"", 'world', ""'"", 'export', 'approval']",2018-01-04,headline
Medical cannabis closer to federal approval,"['Medical', 'cannabis', 'closer', 'federal', 'approval']",2014-09-29,headline
High Hopes,"['High', 'Hopes']",2019-08-24,headline
Sex Party MP Fiona Patten accused of conflict over medicinal cannabis investment,"['Sex', 'Party', 'MP', 'Fiona', 'Patten', 'accused', 'conflict', 'medicinal', 'cannabis', 'investment']",2016-09-15,headline
Medicinal marijuana: First Australia-grown crop to be planted in months,"['Medicinal', 'marijuana', ':', 'First', 'Australia-grown', 'crop', 'planted', 'month']",2015-05-20,headline
'Whole plant' medical cannabis business raising funds despite political drag,"[""'Whole"", 'plant', ""'"", 'medical', 'cannabis', 'business', 'raising', 'fund', 'despite', 'political', 'drag']",2016-06-06,headline
"Cannabis, PMS and how it could soon help treat everything from stomach cramps to mood swings.","['Cannabis', ',', 'PMS', 'could', 'soon', 'help', 'treat', 'everything', 'stomach', 'cramp', 'mood', 'swing', '.']",2016-12-22,headline
"Medicinal cannabis legalised in Victoria, child epilepsy patients to be given access from 2017.","['Medicinal', 'cannabis', 'legalised', 'Victoria', ',', 'child', 'epilepsy', 'patient', 'given', 'access', '2017', '.']",2016-04-12,headline
'My son was having 10 'knockout' seizures a week. This is the only thing that's made it stop.',"[""'My"", 'son', '10', ""'knockout"", ""'"", 'seizure', 'week', '.', 'This', 'thing', ""'s"", 'made', 'stop', '.', ""'""]",2019-01-09,headline
"Medicinal marijuana: 40 sickest children to get treatment ahead of trials, NSW Premier says.","['Medicinal', 'marijuana', ':', '40', 'sickest', 'child', 'get', 'treatment', 'ahead', 'trial', ',', 'NSW', 'Premier', 'say', '.']",2016-07-05,headline
Medical cannabis trial offers hope for children with severe epilepsy.,"['Medical', 'cannabis', 'trial', 'offer', 'hope', 'child', 'severe', 'epilepsy', '.']",2017-05-24,headline
"A NSW father could be jailed for giving his four-year-old daughter ""life-saving medication"".","['A', 'NSW', 'father', 'could', 'jailed', 'giving', 'four-year-old', 'daughter', '``', 'life-saving', 'medication', ""''"", '.']",2016-07-30,headline
A mum's desperate plea for the legalisation of medicinal marijuana.,"['A', 'mum', ""'s"", 'desperate', 'plea', 'legalisation', 'medicinal', 'marijuana', '.']",2016-04-17,headline
Medicinal marijuana sale approved by Federal Government.,"['Medicinal', 'marijuana', 'sale', 'approved', 'Federal', 'Government', '.']",2017-02-21,headline
Medical Cannabis,"['Medical', 'Cannabis']",,headline
The Quicky,"['The', 'Quicky']",,headline
"50,000 people don't think this dad deserved to be arrested. Do you?","['50,000', 'people', ""n't"", 'think', 'dad', 'deserved', 'arrested', '.', 'Do', '?']",2015-01-18,headline
Cannabis,['Cannabis'],,headline
"""My 15 year old cat was dying. Medicinal marijuana changed that.""","['``', 'My', '15', 'year', 'old', 'cat', 'dying', '.', 'Medicinal', 'marijuana', 'changed', '.', ""''""]",2017-11-23,headline
Queensland anti-vaxxer has disabled son taken from her.,"['Queensland', 'anti-vaxxer', 'disabled', 'son', 'taken', '.']",2017-05-19,headline
Over-the-counter cannabis oil is now a thing Australia. But we have questions.,"['Over-the-counter', 'cannabis', 'oil', 'thing', 'Australia', '.', 'But', 'question', '.']",2020-06-03,headline
Wil Anderson helped an 80-year-old woman get into medical marijuana.,"['Wil', 'Anderson', 'helped', '80-year-old', 'woman', 'get', 'medical', 'marijuana', '.']",2016-04-01,headline
Max found out he had epilepsy at 16. Medical marijuana might be his best chance at a normal life.,"['Max', 'found', 'epilepsy', '16', '.', 'Medical', 'marijuana', 'might', 'best', 'chance', 'normal', 'life', '.']",2016-11-06,headline
'Cannabis eased my son's suffering. I'll keep fighting for others to have that right.',"[""'Cannabis"", 'eased', 'son', ""'s"", 'suffering', '.', 'I', ""'ll"", 'keep', 'fighting', 'others', 'right', '.', ""'""]",2017-04-08,headline
Children will be allowed to use medical cannabis in NSW in a world-first drug trial.,"['Children', 'allowed', 'use', 'medical', 'cannabis', 'NSW', 'world-first', 'drug', 'trial', '.']",2016-01-24,headline
2016 was the year everyday Australian women took the power back.,"['2016', 'year', 'everyday', 'Australian', 'woman', 'took', 'power', 'back', '.']",2016-12-25,headline
"Family of missing backpacker Theo Hayez are confident a hat found in bushland near Byron Bay belongs to him, & more in News in 5.","['Family', 'missing', 'backpacker', 'Theo', 'Hayez', 'confident', 'hat', 'found', 'bushland', 'near', 'Byron', 'Bay', 'belongs', ',', '&', 'News', '5', '.']",2019-10-10,headline
Lindsay has epilepsy and an inoperable brain tumour. Cannabis is the only thing that helps.,"['Lindsay', 'epilepsy', 'inoperable', 'brain', 'tumour', '.', 'Cannabis', 'thing', 'help', '.']",2021-04-13,headline
"""Hey mums, it's time to put down the wine and pick up a bong.""","['``', 'Hey', 'mum', ',', ""'s"", 'time', 'put', 'wine', 'pick', 'bong', '.', ""''""]",2016-03-03,headline
"50,000 people support this dad's controversial parenting decision.","['50,000', 'people', 'support', 'dad', ""'s"", 'controversial', 'parenting', 'decision', '.']",2015-01-20,headline
'Some are alarmed my 12yo is in a medical cannabis trial. But life is difficult enough.',"[""'Some"", 'alarmed', '12yo', 'medical', 'cannabis', 'trial', '.', 'But', 'life', 'difficult', 'enough', '.', ""'""]",2019-05-16,headline
Last month I lost my dad. There are 4 aspects of grief I didn't expect.,"['Last', 'month', 'I', 'lost', 'dad', '.', 'There', '4', 'aspect', 'grief', 'I', ""n't"", 'expect', '.']",2022-04-02,headline
Wednesday's news in 5 minutes.,"['Wednesday', ""'s"", 'news', '5', 'minute', '.']",2017-02-21,headline
"Pauline Hanson: Text slabs from One Nation party policies lifted from internet, including Wikipedia.","['Pauline', 'Hanson', ':', 'Text', 'slab', 'One', 'Nation', 'party', 'policy', 'lifted', 'internet', ',', 'including', 'Wikipedia', '.']",2016-07-11,headline
"'The worst is still ahead.' NSW faces new fire threat as winds change, & more in News in 5.","[""'The"", 'worst', 'still', 'ahead', '.', ""'"", 'NSW', 'face', 'new', 'fire', 'threat', 'wind', 'change', ',', '&', 'News', '5', '.']",2019-11-12,headline
The issues Australians took to heart in 2015.,"['The', 'issue', 'Australians', 'took', 'heart', '2015', '.']",2015-12-23,headline
"""Marijuana makes me a better and more creative parent.""","['``', 'Marijuana', 'make', 'better', 'creative', 'parent', '.', ""''""]",2013-09-23,headline
Sunday's news in under 5 minutes.,"['Sunday', ""'s"", 'news', '5', 'minute', '.']",2015-12-12,headline
"""I can smoke an ounce a week."" 3 women share the honest reason they smoke weed.","['``', 'I', 'smoke', 'ounce', 'week', '.', ""''"", '3', 'woman', 'share', 'honest', 'reason', 'smoke', 'weed', '.']",2020-01-03,headline
Cat,['Cat'],,headline
"'She's bossy, clingy and short-tempered.' Everything we know about the wild cast of MAFS 2023.","[""'She"", ""'s"", 'bossy', ',', 'clingy', 'short-tempered', '.', ""'"", 'Everything', 'know', 'wild', 'cast', 'MAFS', '2023', '.']",2023-01-29,headline
Meet Nonna Marijuana: The 91-year-old granny/pot chef.,"['Meet', 'Nonna', 'Marijuana', ':', 'The', '91-year-old', 'granny/pot', 'chef', '.']",2014-12-12,headline
Thursday's news in under 5 minutes.,"['Thursday', ""'s"", 'news', '5', 'minute', '.']",2015-10-21,headline
Mm Mobile Feature,"['Mm', 'Mobile', 'Feature']",,headline
Hi-5 star says that cannabis could help his daughter.,"['Hi-5', 'star', 'say', 'cannabis', 'could', 'help', 'daughter', '.']",2015-11-23,headline
Pot,['Pot'],,headline
Last month I lost my dad. There are 4 aspects of grief I didn't expect.,"['Last', 'month', 'I', 'lost', 'dad', '.', 'There', '4', 'aspect', 'grief', 'I', ""n't"", 'expect', '.']",2022-04-03,headline
The Quicky,"['The', 'Quicky']",2020-01-27,headline
"Joshua and Taylor lost custody of their son after stopping chemo. Now, they want him back.","['Joshua', 'Taylor', 'lost', 'custody', 'son', 'stopping', 'chemo', '.', 'Now', ',', 'want', 'back', '.']",2019-05-08,headline
"Family of missing backpacker Theo Hayez are confident a hat found in bushland near Byron Bay belongs to him, & more in News in 5.","['Family', 'missing', 'backpacker', 'Theo', 'Hayez', 'confident', 'hat', 'found', 'bushland', 'near', 'Byron', 'Bay', 'belongs', ',', '&', 'News', '5', '.']",2019-10-13,headline
"""A joint with friends is fun"": Karl Stefanovic on weed, booze and style.","['``', 'A', 'joint', 'friend', 'fun', ""''"", ':', 'Karl', 'Stefanovic', 'weed', ',', 'booze', 'style', '.']",2015-03-22,headline
We spoke to Breast Cancer Australia about Olivia Newton-John's 'natural therapies.' Here's what they told us.,"['We', 'spoke', 'Breast', 'Cancer', 'Australia', 'Olivia', 'Newton-John', ""'s"", ""'natural"", 'therapy', '.', ""'"", 'Here', ""'s"", 'told', 'u', '.']",2022-08-09,headline
Sunday's news in less than two minutes.,"['Sunday', ""'s"", 'news', 'le', 'two', 'minute', '.']",2014-08-23,headline
Thursday's news in just two minutes.,"['Thursday', ""'s"", 'news', 'two', 'minute', '.']",2013-05-15,headline
Monday's news in under 5 minutes.,"['Monday', ""'s"", 'news', '5', 'minute', '.']",2016-07-10,headline
Friday's news in under 5 minutes: 16th January 2015.,"['Friday', ""'s"", 'news', '5', 'minute', ':', '16th', 'January', '2015', '.']",2015-01-15,headline
News: Teaching boys to be men. And to iron.,"['News', ':', 'Teaching', 'boy', 'men', '.', 'And', 'iron', '.']",2012-03-21,headline
Sunday's news in under 5 minutes.,"['Sunday', ""'s"", 'news', '5', 'minute', '.']",2015-04-19,headline
"Explain to me: Is ""ice"" more dangerous than any other illegal drug?","['Explain', ':', 'Is', '``', 'ice', ""''"", 'dangerous', 'illegal', 'drug', '?']",2015-08-27,headline
Vet,['Vet'],,headline
"""I saw an old photo of myself and started sobbing. It was like looking at someone who's died.""","['``', 'I', 'saw', 'old', 'photo', 'started', 'sobbing', '.', 'It', 'like', 'looking', 'someone', ""'s"", 'died', '.', ""''""]",2018-09-09,headline
Monday's news in under 5 minutes,"['Monday', ""'s"", 'news', '5', 'minute']",2014-09-07,headline
"""If you can look into it."" Details of Trump's call to the Ukraine have been released, & more in news in 5.","['``', 'If', 'look', '.', ""''"", 'Details', 'Trump', ""'s"", 'call', 'Ukraine', 'released', ',', '&', 'news', '5', '.']",2019-09-25,headline
"Domestic dope: One housewife, half a gram, and a clean-a** house.","['Domestic', 'dope', ':', 'One', 'housewife', ',', 'half', 'gram', ',', 'clean-a', '*', '*', 'house', '.']",2016-08-08,headline
"A few years ago, Henry Hammond was a smiling new dad. Yesterday, he was charged with murder.","['A', 'year', 'ago', ',', 'Henry', 'Hammond', 'smiling', 'new', 'dad', '.', 'Yesterday', ',', 'charged', 'murder', '.']",2019-05-28,headline
iNews: 11-year-old speaks out after escaping arranged marriage,"['iNews', ':', '11-year-old', 'speaks', 'escaping', 'arranged', 'marriage']",2013-07-21,headline
"Whatever you do, don't ask a CWA lady about scones.","['Whatever', ',', ""n't"", 'ask', 'CWA', 'lady', 'scone', '.']",2015-06-04,headline
Do you think this is a circle? Your answer reveals more than you might think.,"['Do', 'think', 'circle', '?', 'Your', 'answer', 'reveals', 'might', 'think', '.']",2015-12-07,headline
Wednesday's news in under 5 minutes.,"['Wednesday', ""'s"", 'news', '5', 'minute', '.']",2015-09-01,headline
From anti-vax to 'pro-life': What every single minor party actually stands for.,"['From', 'anti-vax', ""'pro-life"", ""'"", ':', 'What', 'every', 'single', 'minor', 'party', 'actually', 'stand', '.']",2022-05-18,headline
Thursday's news in under 5 minutes.,"['Thursday', ""'s"", 'news', '5', 'minute', '.']",2014-09-17,headline
Wednesday's news in 5 minutes.,"['Wednesday', ""'s"", 'news', '5', 'minute', '.']",2017-04-04,headline
Celeb in 5: Wednesday's best entertainment and gossip news.,"['Celeb', '5', ':', 'Wednesday', ""'s"", 'best', 'entertainment', 'gossip', 'news', '.']",2017-09-27,headline
Tracey Spicer has been sick for 204 days. Here’s what she wants you to know.,"['Tracey', 'Spicer', 'sick', '204', 'day', '.', 'Here', '’', 'want', 'know', '.']",2022-07-25,headline
Eight OTHER questions we should ask during the plebiscite.,"['Eight', 'OTHER', 'question', 'ask', 'plebiscite', '.']",2016-09-15,headline
The illegal drugs we once used to use for sore throats and teething.,"['The', 'illegal', 'drug', 'used', 'use', 'sore', 'throat', 'teething', '.']",2015-07-12,headline
Aust medicinal cannabis ships to Europe,"['Aust', 'medicinal', 'cannabis', 'ship', 'Europe']",2021-01-20,headline
Three out of four Australian women with endometriosis are illicitly using cannabis to ease the pain,"['Three', 'four', 'Australian', 'woman', 'endometriosis', 'illicitly', 'using', 'cannabis', 'ease', 'pain']",2022-01-09,headline
Medicinal cannabis trial could help retired AFL players manage chronic pain,"['Medicinal', 'cannabis', 'trial', 'could', 'help', 'retired', 'AFL', 'player', 'manage', 'chronic', 'pain']",2020-12-09,headline
Can medicinal cannabis be used to help children with autism in Australia?,"['Can', 'medicinal', 'cannabis', 'used', 'help', 'child', 'autism', 'Australia', '?']",2022-03-26,headline
"Drivers using medicinal cannabis are SAFE on the roads, Aussie study reveals","['Drivers', 'using', 'medicinal', 'cannabis', 'SAFE', 'road', ',', 'Aussie', 'study', 'reveals']",2020-12-09,headline
AFL coach Damien Hardwick joins Australian icon Lauren Jackson in medical cannabis push,"['AFL', 'coach', 'Damien', 'Hardwick', 'join', 'Australian', 'icon', 'Lauren', 'Jackson', 'medical', 'cannabis', 'push']",2021-12-01,headline
Cannabis driving less risk than some drugs,"['Cannabis', 'driving', 'le', 'risk', 'drug']",2021-06-11,headline
Clarkson joins medicinal cannabis firm,"['Clarkson', 'join', 'medicinal', 'cannabis', 'firm']",2021-11-10,headline
Researchers finds medicinal cannabis may not be as effective as hoped,"['Researchers', 'find', 'medicinal', 'cannabis', 'may', 'effective', 'hoped']",2019-03-29,headline
Medicinal cannabis supplier Jenny Hallam avoids jail over drug charges,"['Medicinal', 'cannabis', 'supplier', 'Jenny', 'Hallam', 'avoids', 'jail', 'drug', 'charge']",2019-11-06,headline
Medicinal cannabis supply to reach new high with first-ever pot factory in NSW,"['Medicinal', 'cannabis', 'supply', 'reach', 'new', 'high', 'first-ever', 'pot', 'factory', 'NSW']",2020-12-09,headline
CSIRO to develop new medicinal cannabis,"['CSIRO', 'develop', 'new', 'medicinal', 'cannabis']",2021-02-24,headline
How nurse mum and police officer dad became ‘sudden criminals’ in desperate bid to save dying son,"['How', 'nurse', 'mum', 'police', 'officer', 'dad', 'became', '‘', 'sudden', 'criminal', '’', 'desperate', 'bid', 'save', 'dying', 'son']",2022-07-31,headline
Medical cannabis debate: Australians left in pain by expensive and limited access to drug,"['Medical', 'cannabis', 'debate', ':', 'Australians', 'left', 'pain', 'expensive', 'limited', 'access', 'drug']",2019-08-04,headline
Flashpoint: Why is medicinal cannabis so hard to access in WA?,"['Flashpoint', ':', 'Why', 'medicinal', 'cannabis', 'hard', 'access', 'WA', '?']",2019-11-11,headline
Marijuana,['Marijuana'],,headline
Medicinal cannabis subject of new inquiry,"['Medicinal', 'cannabis', 'subject', 'new', 'inquiry']",2019-11-13,headline
"Thailand is allowing people to grow cannabis at home. To celebrate, it’s giving away one million free plants","['Thailand', 'allowing', 'people', 'grow', 'cannabis', 'home', '.', 'To', 'celebrate', ',', '’', 'giving', 'away', 'one', 'million', 'free', 'plant']",2022-05-11,headline
Bid to chop medicinal cannabis red tape,"['Bid', 'chop', 'medicinal', 'cannabis', 'red', 'tape']",2019-08-01,headline
Queensland grandmother calls for medicinal cannabis use as her case hits court,"['Queensland', 'grandmother', 'call', 'medicinal', 'cannabis', 'use', 'case', 'hit', 'court']",2019-11-19,headline
Medicinal cannabis: The fight to give Australian patients access to the treatment,"['Medicinal', 'cannabis', ':', 'The', 'fight', 'give', 'Australian', 'patient', 'access', 'treatment']",2019-05-23,headline
Over the counter medicinal cannabis could be available next year,"['Over', 'counter', 'medicinal', 'cannabis', 'could', 'available', 'next', 'year']",2020-12-09,headline
NSW medicinal weed users want to drive,"['NSW', 'medicinal', 'weed', 'user', 'want', 'drive']",2022-06-15,headline
Inside medical marijuana use by Aussie ‘corporate mum’ who turned to oil after family tragedy,"['Inside', 'medical', 'marijuana', 'use', 'Aussie', '‘', 'corporate', 'mum', '’', 'turned', 'oil', 'family', 'tragedy']",2022-03-05,headline
Taking CBD oil and driving 'safe': study,"['Taking', 'CBD', 'oil', 'driving', ""'safe"", ""'"", ':', 'study']",2022-05-30,headline
Rules eased for medicinal cannabis in WA,"['Rules', 'eased', 'medicinal', 'cannabis', 'WA']",2019-11-11,headline
Queensland to investigate whether medicinal cannabis users should drive,"['Queensland', 'investigate', 'whether', 'medicinal', 'cannabis', 'user', 'drive']",2022-08-30,headline
Qld cuts hurdle for medicinal cannabis,"['Qld', 'cut', 'hurdle', 'medicinal', 'cannabis']",2019-04-03,headline
WA premier rejects legalised cannabis plan,"['WA', 'premier', 'reject', 'legalised', 'cannabis', 'plan']",2022-06-20,headline
SA cannabis supplier spared conviction,"['SA', 'cannabis', 'supplier', 'spared', 'conviction']",2019-11-06,headline
Flashpoint: How new medicinal cannabis regulations will change lives,"['Flashpoint', ':', 'How', 'new', 'medicinal', 'cannabis', 'regulation', 'change', 'life']",2019-11-11,headline
Parents hail 10-month-old's response to cannabis oil treatment as 'amazing',"['Parents', 'hail', '10-month-old', ""'s"", 'response', 'cannabis', 'oil', 'treatment', ""'amazing"", ""'""]",2020-08-20,headline
Red tape cuts to light up cannabis markets,"['Red', 'tape', 'cut', 'light', 'cannabis', 'market']",2020-05-12,headline
Greens bid to change cannabis driving laws,"['Greens', 'bid', 'change', 'cannabis', 'driving', 'law']",2021-02-02,headline
Medicinal cannabis expands for kids in Vic,"['Medicinal', 'cannabis', 'expands', 'kid', 'Vic']",2020-11-10,headline
Two Perth cannabis floats set to green ASX,"['Two', 'Perth', 'cannabis', 'float', 'set', 'green', 'ASX']",2020-02-10,headline
Medicinal cannabis drug Epidyolex added to PBS for those living with Dravet syndrome,"['Medicinal', 'cannabis', 'drug', 'Epidyolex', 'added', 'PBS', 'living', 'Dravet', 'syndrome']",2021-04-29,headline
Medicinal cannabis clinics fined for unlawful advertising,"['Medicinal', 'cannabis', 'clinic', 'fined', 'unlawful', 'advertising']",2022-11-01,headline
THC Global launches Aust-grown cannabis,"['THC', 'Global', 'launch', 'Aust-grown', 'cannabis']",2020-05-20,headline
Calls for less red tape on medical pot,"['Calls', 'le', 'red', 'tape', 'medical', 'pot']",2020-03-24,headline
What this NSW dad-of-six wants you to know about medical marijuana,"['What', 'NSW', 'dad-of-six', 'want', 'know', 'medical', 'marijuana']",2020-12-09,headline
"Australian daily users consume up to 85pct of the country's cannabis, study says","['Australian', 'daily', 'user', 'consume', '85pct', 'country', ""'s"", 'cannabis', ',', 'study', 'say']",2020-01-15,headline
Australian dementia sufferers to be given cannabis in world-first study,"['Australian', 'dementia', 'sufferer', 'given', 'cannabis', 'world-first', 'study']",2019-09-30,headline
Wild proposal to give WA most relaxed cannabis laws in the country,"['Wild', 'proposal', 'give', 'WA', 'relaxed', 'cannabis', 'law', 'country']",2022-06-20,headline
Stone the crows: Half of WA's McGowan government cabinet admits they've smoked weed,"['Stone', 'crow', ':', 'Half', 'WA', ""'s"", 'McGowan', 'government', 'cabinet', 'admits', ""'ve"", 'smoked', 'weed']",2019-11-12,headline
"Medical marijuana in Australia is on the rise, despite the high restrictions","['Medical', 'marijuana', 'Australia', 'rise', ',', 'despite', 'high', 'restriction']",2019-06-11,headline
Four marijuana mega-projects planned,"['Four', 'marijuana', 'mega-projects', 'planned']",2019-12-20,headline
Chemist Warehouse backs medicinal cannabis venture,"['Chemist', 'Warehouse', 'back', 'medicinal', 'cannabis', 'venture']",,headline
Cannabis-infused Nutella and fairy floss sold by South Australian man,"['Cannabis-infused', 'Nutella', 'fairy', 'floss', 'sold', 'South', 'Australian', 'man']",2019-06-12,headline
Cannabis firm Cronos launches $20m float,"['Cannabis', 'firm', 'Cronos', 'launch', '$', '20m', 'float']",2019-10-15,headline
Women using cannabis to ease endometriosis symptoms,"['Women', 'using', 'cannabis', 'ease', 'endometriosis', 'symptom']",,headline
Medical pot company faces permit delays,"['Medical', 'pot', 'company', 'face', 'permit', 'delay']",2019-05-27,headline
Lauren Jackson's shock basketball comeback,"['Lauren', 'Jackson', ""'s"", 'shock', 'basketball', 'comeback']",2022-02-01,headline
Vic to mull illicit drug policing trial,"['Vic', 'mull', 'illicit', 'drug', 'policing', 'trial']",2022-03-08,headline
UK fast-tracks cannabis epilepsy treatment,"['UK', 'fast-tracks', 'cannabis', 'epilepsy', 'treatment']",2020-11-10,headline
Arts inspire in cancer battle: Newton-John,"['Arts', 'inspire', 'cancer', 'battle', ':', 'Newton-John']",2020-11-10,headline
Parliament returns but public still banned,"['Parliament', 'return', 'public', 'still', 'banned']",2020-06-07,headline
Greens vow cannabis reform if successful,"['Greens', 'vow', 'cannabis', 'reform', 'successful']",2022-05-01,headline
$130m pot greenhouse coming to Mildura,"['$', '130m', 'pot', 'greenhouse', 'coming', 'Mildura']",2020-04-03,headline
Zelira shares soar on marijuana trial,"['Zelira', 'share', 'soar', 'marijuana', 'trial']",2020-04-06,headline
Australian personal trainer shot dead in doorway of LA medical marijuana store,"['Australian', 'personal', 'trainer', 'shot', 'dead', 'doorway', 'LA', 'medical', 'marijuana', 'store']",2022-08-16,headline
Thailand allows growing cannabis at home,"['Thailand', 'allows', 'growing', 'cannabis', 'home']",2022-01-25,headline
ACT set to pass bill making cannabis legal for personal use,"['ACT', 'set', 'pas', 'bill', 'making', 'cannabis', 'legal', 'personal', 'use']",2019-09-24,headline
Melbourne premiership party disrupted as Ron Barassi tests positive to COVID,"['Melbourne', 'premiership', 'party', 'disrupted', 'Ron', 'Barassi', 'test', 'positive', 'COVID']",2021-12-01,headline
Cannabis company signs pharmacy deal,"['Cannabis', 'company', 'sign', 'pharmacy', 'deal']",2019-11-06,headline
WA parliament to probe MP's court claims,"['WA', 'parliament', 'probe', 'MP', ""'s"", 'court', 'claim']",2022-06-14,headline
Thailand to provide free cannabis plants,"['Thailand', 'provide', 'free', 'cannabis', 'plant']",2022-05-11,headline
Cannabis and coronavirus: Even occasional use raises risk of Covid-19 complications,"['Cannabis', 'coronavirus', ':', 'Even', 'occasional', 'use', 'raise', 'risk', 'Covid-19', 'complication']",2020-04-11,headline
US mum charged with murder after four-year-old son overdoses on cannabis gummies,"['US', 'mum', 'charged', 'murder', 'four-year-old', 'son', 'overdoses', 'cannabis', 'gummies']",2022-10-21,headline
Dennis Hopper strain of cannabis on sale,"['Dennis', 'Hopper', 'strain', 'cannabis', 'sale']",2019-09-18,headline
Virus propels $467 billion health spend,"['Virus', 'propels', '$', '467', 'billion', 'health', 'spend']",2020-10-06,headline
Cannabis cafe opens in Bangkok just weeks after drug decriminalised,"['Cannabis', 'cafe', 'open', 'Bangkok', 'week', 'drug', 'decriminalised']",2022-08-12,headline
Vic attorney-general Hennessy steps down,"['Vic', 'attorney-general', 'Hennessy', 'step']",2020-12-15,headline
Flashpoint,['Flashpoint'],,headline
Today's Birthday 6/6,"['Today', ""'s"", 'Birthday', '6/6']",2020-06-05,headline
A Florida judge denies parents custody of 4-year-old son with leukemia,"['A', 'Florida', 'judge', 'denies', 'parent', 'custody', '4-year-old', 'son', 'leukemia']",2019-09-09,headline
Pot luck: Thais decriminalise marijuana,"['Pot', 'luck', ':', 'Thais', 'decriminalise', 'marijuana']",2022-06-08,headline
Pot company raises $50m for US expansion,"['Pot', 'company', 'raise', '$', '50m', 'US', 'expansion']",2019-06-04,headline
Man accused of stabbing Hindley Street security guard with scissors faces court,"['Man', 'accused', 'stabbing', 'Hindley', 'Street', 'security', 'guard', 'scissors', 'face', 'court']",2019-10-08,headline
Early election on the cards in Tasmania,"['Early', 'election', 'card', 'Tasmania']",2021-03-16,headline
Fourways Devonport -Compounding Pharmacist,"['Fourways', 'Devonport', '-Compounding', 'Pharmacist']",2023-03-17,headline
Snapshot of former Greens leader Di Natale,"['Snapshot', 'former', 'Greens', 'leader', 'Di', 'Natale']",2020-02-02,headline
Olivia Newton-John's daughter Chloe Lattanzi blasted over anti-vax stance,"['Olivia', 'Newton-John', ""'s"", 'daughter', 'Chloe', 'Lattanzi', 'blasted', 'anti-vax', 'stance']",2020-12-06,headline
Every suspended by PGA for 'drug of abuse',"['Every', 'suspended', 'PGA', ""'drug"", 'abuse', ""'""]",2019-10-18,headline
Man who shoved marijuana clump up his nose has it removed after 18 years,"['Man', 'shoved', 'marijuana', 'clump', 'nose', 'removed', '18', 'year']",2019-11-03,headline
Your ultimate election guide: How to vote and what each party wants to do,"['Your', 'ultimate', 'election', 'guide', ':', 'How', 'vote', 'party', 'want']",2022-05-20,headline
Candice Warner fires warning over David Warner’s life-long leadership ban,"['Candice', 'Warner', 'fire', 'warning', 'David', 'Warner', '’', 'life-long', 'leadership', 'ban']",2021-12-01,headline
"NSW bushfires' fourth victim, Barry Parsons, reveals terror as flames close in","['NSW', 'bushfires', ""'"", 'fourth', 'victim', ',', 'Barry', 'Parsons', ',', 'reveals', 'terror', 'flame', 'close']",2019-11-14,headline
GWS Giants' blunt message to players after Aidan Corr exits in free agency,"['GWS', 'Giants', ""'"", 'blunt', 'message', 'player', 'Aidan', 'Corr', 'exit', 'free', 'agency']",2020-09-14,headline
Indiana father battling cancer kills wife and children in apparent murder-suicide,"['Indiana', 'father', 'battling', 'cancer', 'kill', 'wife', 'child', 'apparent', 'murder-suicide']",2020-09-09,headline
Uber Eats to rollout cannabis delivery in Canada,"['Uber', 'Eats', 'rollout', 'cannabis', 'delivery', 'Canada']",2021-11-22,headline
Grow cannabis not tobacco: Malawi leader,"['Grow', 'cannabis', 'tobacco', ':', 'Malawi', 'leader']",2021-05-12,headline
Australian woman Kim Alloggia appears before Bali court for possession of marijuana oil,"['Australian', 'woman', 'Kim', 'Alloggia', 'appears', 'Bali', 'court', 'possession', 'marijuana', 'oil']",2019-07-18,headline
