headline,preprocessed_headline,date_std,source
"Study proves medicinal cannabis can help children with severe epilepsy, researchers say","['Study', 'prof', 'medicinal', 'cannabis', 'help', 'child', 'severe', 'epilepsy', ',', 'researcher', 'say']",2017-05-24,headline
WA researchers look at potential to use medicinal cannabis for weight loss,"['WA', 'researcher', 'look', 'potential', 'use', 'medicinal', 'cannabis', 'weight', 'loss']",2022-02-14,headline
"Vanuatu set to enter global cannabis market after passing cultivation, export laws – but some remain sceptical","['Vanuatu', 'set', 'enter', 'global', 'cannabis', 'market', 'passing', 'cultivation', ',', 'export', 'law', '–', 'remain', 'sceptical']",2023-02-22,headline
Medicinal marijuana to become legal to grow in Australia — but how will it work?,"['Medicinal', 'marijuana', 'become', 'legal', 'grow', 'Australia', '—', 'work', '?']",2016-10-28,headline
Pharmaceutical-grade medicinal cannabis 'global shortage' to be met with Australian product,"['Pharmaceutical-grade', 'medicinal', 'cannabis', ""'global"", 'shortage', ""'"", 'met', 'Australian', 'product']",2019-06-22,headline
analysisWho can get medicinal marijuana?,"['analysisWho', 'get', 'medicinal', 'marijuana', '?']",2017-02-21,headline
Australia's biggest medicinal marijuana farm to be built in Queensland's conservative garden city,"['Australia', ""'s"", 'biggest', 'medicinal', 'marijuana', 'farm', 'built', 'Queensland', ""'s"", 'conservative', 'garden', 'city']",2021-04-14,headline
Three out of five prescriptions for medicinal cannabis are to treat chronic pain,"['Three', 'five', 'prescription', 'medicinal', 'cannabis', 'treat', 'chronic', 'pain']",2020-12-09,headline
Medicinal cannabis scheme will make 'life worth living' for Canberra resident,"['Medicinal', 'cannabis', 'scheme', 'make', ""'life"", 'worth', 'living', ""'"", 'Canberra', 'resident']",2016-08-13,headline
Epileptic children to be first in Queensland treated with medicinal cannabis as part of trial,"['Epileptic', 'child', 'first', 'Queensland', 'treated', 'medicinal', 'cannabis', 'part', 'trial']",2015-10-21,headline
"Medical cannabis in Australia 'pretty much inaccessible', leaving patients looking to US","['Medical', 'cannabis', 'Australia', ""'pretty"", 'much', 'inaccessible', ""'"", ',', 'leaving', 'patient', 'looking', 'US']",2018-07-23,headline
Medicinal cannabis: Government accused of defying will of Senate over importation,"['Medicinal', 'cannabis', ':', 'Government', 'accused', 'defying', 'Senate', 'importation']",2017-08-23,headline
Former soldier Eli Turner prescribed medicinal cannabis after waiting months in 'unbearable' chronic pain,"['Former', 'soldier', 'Eli', 'Turner', 'prescribed', 'medicinal', 'cannabis', 'waiting', 'month', ""'unbearable"", ""'"", 'chronic', 'pain']",2020-05-07,headline
Cannabis oil advocate Jenny Hallam spared conviction for supplying medicinal cannabis,"['Cannabis', 'oil', 'advocate', 'Jenny', 'Hallam', 'spared', 'conviction', 'supplying', 'medicinal', 'cannabis']",2019-11-06,headline
Medicinal cannabis farm allows rare glimpse into construction at secret Queensland location,"['Medicinal', 'cannabis', 'farm', 'allows', 'rare', 'glimpse', 'construction', 'secret', 'Queensland', 'location']",2017-07-30,headline
